power_w,effective_final_nonactive_activation_fraction
24,0.08198408712279445
27,0.12690257587178205
30,0.15091598801333372
33,0.320462885204468
36,0.43666939065538557
42,0.5048254994516821
48,0.6428621059065807
54,0.3971392996783877
60,0.06669458568679182
