power_w,measured_rsh_before_ohm_per_sq,measured_rsh_after_ohm_per_sq
24,170.8851,163.13
27,171.64,150.38
30,175.79,144.95
33,161.26,117.588
36,,105
42,,99
48,,89
54,,82
60,,69
