depth_nm,total_p_cm3,active_p_cm3,inactive_p_cm3
3.339961853027339771e+02,4.293595483445652800e+16,1.087814311305815200e+16,3.205781172139837600e+16
3.400633850097660229e+02,4.293595483445652800e+16,1.022340983202207200e+16,3.271254500243445600e+16
3.451999999999999886e+02,3.527242831207792800e+16,9.700000000000008000e+15,2.557242831207792000e+16
3.461305847167969887e+02,3.339462270936693200e+16,9.688283893724998000e+15,2.370633881564193600e+16
3.521977844238280113e+02,3.339462270936693200e+16,9.612243686243174000e+15,2.378237902312376000e+16
3.572000000000000455e+02,3.339462270936693200e+16,9.550000000000010000e+15,2.384462270936692000e+16
3.582649841308589771e+02,3.339462270936693200e+16,9.476577767470078000e+15,2.391804494189685600e+16
3.643321838378910229e+02,1.908263848037587600e+16,9.068931913586446000e+15,1.001370656678943000e+16
3.688000000000000114e+02,1.145416387332136800e+16,8.780000000000009000e+15,2.674163873321359000e+15
3.703993835449219887e+02,9.541319240187898000e+15,8.756573162077963000e+15,7.847460781099350000e+14
3.764665527343750000e+02,9.541319240187898000e+15,8.668271702002604000e+15,8.730475381852940000e+14
3.811999999999999886e+02,5.555892727266684000e+15,5.555892727266684000e+15,0.000000000000000000e+00
3.825337524414060226e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
3.886009826660160229e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
3.922999999999999545e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
3.946681518554689774e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.007353515625000000e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.013999999999999773e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.068025512695310226e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.128697814941410229e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.131000000000000227e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.189369201660160229e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.227000000000000455e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.250041503906250000e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.310713500976560226e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.345999999999999659e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.371385192871089771e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.432057189941410229e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.441999999999999886e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.492729492187500000e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.540000000000000000e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.553401489257810226e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.614073181152339771e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.648000000000000114e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.674745178222660229e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.735417175292969887e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.738999999999999773e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
4.796088867187500000e+02,4.770659620093948000e+15,4.770659620093948000e+15,0.000000000000000000e+00
